Lat, long
55.588681, 10.142625
55.604044, 10.006676
55.696094, 9.998907
55.722355, 10.643693
56.014398, 10.993276
56.079480, 11.257405
56.219006, 11.366479
56.258795, 11.542008
56.032347, 11.800682
55.985864, 11.627463
56.024604, 11.324906
55.925093, 11.066232
55.630238, 10.648196
55.636757, 10.253256
55.600239, 10.213993
